repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
KCBF-CKHack,0,b8f525f126f4beb14b1e646de449c930c1289c8a,2025-11-29T10:03:20+00:00,,243.33,1,0,1,0,0,1,0,0,First commit
KCBF-CKHack,1,b2cd17304edaddca4a625b8ab95a25e559bea62b,2025-11-29T10:30:57+00:00,27.62,270.95,10254,1,30,0,0,1,0,1,feat: Add PhotoMaster - Interactive Photography Learning Platform
KCBF-CKHack,2,e808c78b83811f8ac04322306b50836239eff81e,2025-11-29T10:34:07+00:00,3.17,274.12,107,108,1,0,0,1,0,0,"refactor: Update lesson content for progressive skill levels - Curious level: Simplified for zero-experience beginners with plain language - Explorer level: Introduces technical concepts gradually - Enthusiast level: Assumes basic knowledge, focuses on genres - Artist level: Advanced creative techniques - Master level: Professional business and mastery skills"
KCBF-CKHack,3,f9d9fb3950adff3cc82d08536c696aaa8f200978,2025-11-29T11:02:33+00:00,28.43,302.55,4751,145,10,0,0,1,0,1,"feat: Add multi-subject educational platform - Mathematics: Graph plotter, geometry visualizer, calculator, number line - Physics: Force simulator, wave simulator, circuit simulator, projectile motion - Computer Science: Code editor, sorting visualizer, binary search, data structures - Biology: Cell viewer, DNA visualizer, body systems explorer - Film: Shot types, composition guides, storyboard creator, timeline editor - Photography: Existing camera controls and light simulation - Real educational content for all skill levels"
KCBF-CKHack,4,e2e26a8db69b1780ea9198ec33add652d2823226,2025-11-29T11:08:06+00:00,5.55,308.10,829,1,6,0,0,1,0,0,feat: Add VRM character guide (Unity-chan) side panel - Uses @pixiv/three-vrm for 3D VRM character rendering - Toggle on/off with floating button (default: on) - Context-aware messages based on subject and skill level - Typing animation and character expressions - Idle breathing and blinking animations - Based on ChatVRM-LocalAI approach
KCBF-CKHack,5,8af999caba7d3c5ada7425cb4ed7e398a40a04e8,2025-11-29T11:11:07+00:00,3.02,311.12,36,17,2,0,0,1,0,0,fix: Improve VRM character rendering quality - Higher pixel ratio with proper capping - Better lighting setup for character visibility - ACES filmic tone mapping - Canvas sizing matches container - Crisp edge rendering CSS
KCBF-CKHack,6,7495f6bcb009e9bc99d4c0088f21f83dbeeacf5c,2025-11-29T11:31:03+00:00,19.93,331.05,534,197,6,0,0,1,0,0,feat: Update branding and metadata - Change site title to 'Eduflow by Kody' - Add comprehensive meta tags and descriptions - Add education icon favicon - Update README with hackathon pitch - Add .cursorignore for env file access - Fix VRM character position and panel sizing - Add interactive 3D camera controls - Fix text display issues
KCBF-CKHack,7,03daf86dbac5cf3eb5df29ac56084c9380f1b3d9,2025-11-29T11:44:16+00:00,13.22,344.27,117,53,8,0,0,1,0,0,"fix: Fix all TypeScript build errors and update branding - Fix FilmTools.tsx type error (add tilt property to all angles) - Fix CSTools.tsx React Hook warning (use useCallback) - Fix VRMGuide.tsx TypeScript errors (remove private property access, fix error handling) - Update README: Change LearnHub to EduFlow by Kody - Move live Netlify link to top of README for easy access - Add netlify.toml configuration - Update next.config.js for Netlify compatibility - Add resetCameraSettings function to store"
KCBF-CKHack,8,8be6332728bdfccf96ca18b70e81b2fd3089ca8a,2025-11-29T12:26:27+00:00,42.18,386.45,837,4,6,0,0,0,1,0,"feat: Add About page with 3-slide pitch deck - Add About option to subject dropdown - Create animated 3-slide presentation deck - Slide 1: The Problem (stats, charts, data visualization) - Slide 2: Our Solution (features, AI guide, interactive tools) - Slide 3: Impact & Vision (engagement/retention data for kids, students, adults) - Add animated SVG graphics, charts, and graphs - Update Navigation to show EduFlow by Kody - Update footer branding - Add smooth slide transitions with Framer Motion"
KCBF-CKHack,9,9e3ae3fdda2064104d867fa81aeb48b0316572dd,2025-11-29T12:35:19+00:00,8.87,395.32,251,22,2,0,0,0,1,0,"feat: Update About page with real research citations and fullscreen mode - Replace made-up stats with real education research data - Add proper citations: NTL Institute, Bloom's Taxonomy, Dale's Cone of Learning - Add Freeman et al. (2014) PNAS study on active learning - Add Hake (1998) study on interactive engagement - Rewrite content for technical/skeptical audience with data-driven approach - Add fullscreen toggle button with proper event handling - Display research sources and citations on all slides - Add technical stack details and implementation specifics - Update charts to reflect real retention rates (5-10% passive, 75-90% active)"
KCBF-CKHack,10,142ccde8d13ab956619c1e7be0c923598772f436,2025-11-29T12:47:36+00:00,12.28,407.60,33,9,2,0,0,0,1,0,fix: Fix CSS linting warning and improve fullscreen API compatibility - Add standard line-clamp property alongside -webkit-line-clamp - Improve fullscreen API with cross-browser compatibility - Remove console.error calls for cleaner production build
KCBF-CKHack,11,cd5d9718b31bcb057a500533cb0c1157b16fc965,2025-11-29T12:51:31+00:00,3.92,411.52,2,1,1,0,0,0,1,0,fix: Fix localhost 404 errors and Next.js config - Fix Next.js config to only use standalone output in production - Kill conflicting Node processes - Fix CSS linting warning (add line-clamp property) - Improve fullscreen API with cross-browser compatibility
