repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,0,e3c0e0e15789afb64819251aa3d21ac77a23cb69,2025-11-29T07:07:20+00:00,,67.33,861,0,16,0,0,1,0,0,feat: setup project from bun create vite
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,1,946f275e2c1f885c6d53384234b6ba10e67b55e6,2025-11-29T07:09:32+00:00,2.20,69.53,6,31,2,0,0,1,0,0,feat: clean up scaffolding
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,2,bd77f7bf077a725876f33e6943be35ea906fb527,2025-11-29T07:15:08+00:00,5.60,75.13,36,2,2,0,0,1,0,0,feat: add base app with video stream
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,3,874ed5344717f149ccc438e5e001a1df5aa68ed1,2025-11-29T07:21:26+00:00,6.30,81.43,30,3,1,0,0,1,0,0,feat: add stop functionality
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,4,56dca7827e0822d0ea6321a7ad527a953cfa35a6,2025-11-29T07:26:05+00:00,4.65,86.08,545,1,17,0,0,1,0,0,feat: install @vladmandic/face-api
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,5,39e4e533750f78660be9a7608a4e6846503319ce,2025-11-29T07:31:55+00:00,5.83,91.92,43,0,1,0,0,1,0,0,feat: add mood detection based on face
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,6,022a88a70e2fd5cf9566752dbdcba5f3cb8f7596,2025-11-29T07:34:13+00:00,2.30,94.22,0,0,7,0,0,1,0,0,feat: add sound based on moods
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,7,ac6f67ba868cc9324b298504d330cba8ccbaa4a2,2025-11-29T07:40:51+00:00,6.63,100.85,27,2,1,0,0,1,0,0,feat: add background music based on mood detection
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,8,df357bc1b5c6225cd6d80a8054cd3599c3c5f30e,2025-11-29T07:42:56+00:00,2.08,102.93,37,0,3,0,0,1,0,0,feat: add server to fetch eleven labs scribe token
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,9,cd68723e9881d1df3ee94db1a82b23cfe66b64f2,2025-11-29T07:44:39+00:00,1.72,104.65,4,1,3,0,0,1,0,0,feat: add env variable for eleven labs api key
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,10,a5bdce3b8a737a0f91d6e4be0a5308d2269d7a29,2025-11-29T07:56:25+00:00,11.77,116.42,95,5,6,0,0,1,0,0,feat: add speech to text with eleven labs
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,11,4b15747554a4855d43e2245e4d5ff6de27dbfdda,2025-11-29T08:03:25+00:00,7.00,123.42,308,8,2,0,0,1,0,0,feat: add face tracking
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,12,c966ce9ad03ec5fc7cbe082d68211811d878e6bc,2025-11-29T08:17:09+00:00,13.73,137.15,303,272,2,0,0,1,0,0,refactor: move face detection into its own file
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,13,f2da5c3aa431c1182f7ce79c2e1a4d86c4137c2a,2025-11-29T08:24:03+00:00,6.90,144.05,278,39,6,0,0,1,0,0,feat: add mood calculation hook with sentiment analysis from scribe input
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,14,c52732619f198572ccbcce21ae9f70b585cb4616,2025-11-29T08:35:04+00:00,11.02,155.07,5,1,1,0,0,1,0,0,feat: add error handling
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,15,c4c75b8d24c7d8338cc26ab36a256b36b0f3ec02,2025-11-29T08:58:23+00:00,23.32,178.38,42,0,3,0,0,1,0,0,feat: add sfx
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,16,55486c4ed50e721423cb6c53dd91e3e8f1c9396e,2025-11-29T10:19:46+00:00,81.38,259.77,35,25,6,0,0,1,0,0,feat: add more sfx
lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru,17,756f1f29cd684dbd1c5dfdd6e2299501be0901ec,2025-11-29T10:27:04+00:00,7.30,267.07,11,1,8,0,0,1,0,0,feat: update bg music
