repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
huyencute11-hackathon,0,607d15879ea20463ba4e20ee16bf08948d4a8aa1,2025-11-29T07:16:25+00:00,,76.42,109,0,1,0,0,1,0,0,first commit
huyencute11-hackathon,1,d2c3d01fa7e9f5a1619fe2f39e293058bff1e819,2025-11-29T07:18:02+00:00,1.62,78.03,2,0,2,0,0,1,0,0,push code
huyencute11-hackathon,2,cd2e0131e1271c362bf723bc6e404e6d23545ae4,2025-11-29T07:38:13+00:00,20.18,98.22,27,0,1,0,0,1,0,0,feat: docker
huyencute11-hackathon,3,7e608f632558b71b3390ea6cbc05f7badb018087,2025-11-29T07:39:54+00:00,1.68,99.90,6910,0,27,0,0,1,0,1,add frontend
huyencute11-hackathon,4,cffaa3cfb30413340386fe572899e03bb763123b,2025-11-29T07:52:42+00:00,12.80,112.70,1,1,1,1,0,1,0,0,Merge remote-tracking branch 'origin/master'
huyencute11-hackathon,5,1deaca68c6e63ca08703603aa8f4b2e3d59ff349,2025-11-29T08:01:40+00:00,8.97,121.67,823,19,11,0,0,1,0,0,add feature
huyencute11-hackathon,6,d266b628564e863a82ac88876c8ff44ee53f7291,2025-11-29T08:03:32+00:00,1.87,123.53,247,6,6,1,0,1,0,0,Merge pull request #1 from huyencute11/feature/add-button
huyencute11-hackathon,7,1adfd60ad41a7d4434f40623b209032c52a04192,2025-11-29T08:13:53+00:00,10.35,133.88,464,0,10,1,0,1,0,0,Merge pull request #2 from huyencute11/feature/add-footer
huyencute11-hackathon,8,2d8808be1f568970b7015fc525fd434941586114,2025-11-29T08:16:40+00:00,2.78,136.67,768,29,9,1,0,1,0,0,Merge branch 'feature/be'
huyencute11-hackathon,9,3f65ae5164801351109ee4f4e683e5350dc013c2,2025-11-29T08:28:41+00:00,12.02,148.68,193,0,4,0,0,1,0,0,update
huyencute11-hackathon,10,90e8d0cf19aaf728cabed3aebeba3fe121a4024e,2025-11-29T08:29:00+00:00,0.32,149.00,339,3,5,0,0,1,0,0,update
huyencute11-hackathon,11,e42d5d1e9131ab314a52a5b96bfe1037f44dc8d3,2025-11-29T08:31:14+00:00,2.23,151.23,0,0,0,1,0,1,0,0,Merge branch 'master' into feat/add-docker-fe
